german	russian
außerhalb (+ G.) (außerhalb der Saison)	вне (вне сезона)
die Kategorie, -n	категория
die Saison, -en	сезон
der Partylärm (Sg.)	шум вечеринки
die Entschuldigung, -en	извинение
regeln (Gibt es ein Problem? Moment, ich regele das.)	уладить (Есть проблемы? Одно мгновение, я улажу их.)
der Sinn (Sg.) (im Sinn von jmd. handeln)	ощущение, чувство, сознание, разум (действовать в ч.-л. Направлении)
überprüfen	проверять
übrig	остальной
bummeln	прогуливаться, фланировать
das Dienstleistungszentrum, -zentren	центр услуг
der/die Reeder/in, -/-nen	судовладелец
das Schmuddelwetter (Sg.)	пакостная погода
die Seeleute (PI.)	моряки
das Szeneviertel, -	фешенебельный квартал
vornehm	благородный, возвышенный
antreffen, trifft an, traf an, hat angetroffen	встретить, застать
beladen, belädt, belud, hat beladen	нагружать
das Containerterminal, -s	контейнерный порт
die Einkaufsstraße, -n	торговая улица
elegant	элегантный
entladen, entlädt, entlud, hat entladen (Die Schiffe werden im Hafen entladen.)	разгружать, выгружать (Корабли выгружаются в порту.)
erwähnen	напомнить
fern	далёкий
der Fischmarkt, "-e	рыбный базар
hochmodern	ультрасовременный, очень модный
die Kirche, -n	церковь
der Nebel, -	туман
nebenan	рядом
der Norden (Sg.)	север
der Ozeanriese, -n	океанский пароход-великан
der Rand, "-er	край, предел, грань
das Rathaus, "-er	ратуша
der Regen (Sq.)	дождь
reich	богатый
das Schiff, -e	корабль
schummrig	сумеречный
schwer (schwer verdient / leicht verdient)	тяжёлый (с трудом заработанный / легко заработанный)
der Seemann, "-er	моряк
das Segelschiff, -e	парусное судно
der Sinn (Sg.) (in den Sinn kommen)	ощущение, чувство, сознание, разум (прийти в голову)
der Sonntagmorgen, -	воскресное утро
das Tor, -e	ворота
vergnügen (sich)	развлекаться
das Vermögen, -	имущество, состояние
wiederfinden, findet wieder, fand wieder, hat wiedergefunden	находить
zahlreich	многочисленный
das Zentrum, Zentren	центр
auf (auf geht's!)	(Поехали! Пошли! Вперёд!)
bequem	удобный
die Entdeckungstour, -en	исследовательская поездка
entlang (+ G.)	вдоль
etablieren (sich) (Viele Firmen haben sich in der Stadt etabliert.)	основывать, учреждать (В городе было основано много фирм.)
extravagant	экстравагантный
das Finanzzentrum, -zentren	финансовый центр
die Hafenstadt, "-e	портовый город
der Handel (Sg.)	торговля
das Kontor, -en	контора
die Medienfirma, -firmen	медиафирма
die Moderne (Sg.)	модернизм
die Passage, -n	проход, проезд
der Publikumsmagnet, -e	магнит для публики
die Schiffsware, -n	товары с корабля
der Tierpark, -s	зоопарк
verändern (sich)	изменяться
das Viertel, - (Ich wohne in einem schicken Viertel von Hamburg.)	квартал (Я живу в шикарном квартале Гамбурга.)
wandeln (sich)	изменяться, превращаться
der Zoo, -s	зоопарк
der Stadtteil, -e	городской квартал
streichen, streicht, strich, hat gestrichen (Bitte streich meinen Namen von der Liste.)	вычёркивать (Вычеркни, пожалуйста, моб имя из списка.)
reservieren	бронировать, резервировать
abreisen	отъезжать
anreisen	приезжать
die Bestätigung, -en	подтверждение
gern geschehen (Danke für Ihre Hilfe. - Gern geschehen.)	рад был помочь (Спасибо за Вашу помощь. - Рад был помочь.)
klimatisiert	с кондиционером
das Nichtraucherzimmer, -	комната для некурящих
die Reservierungsbestätigung, -en	подтверждение бронирования
die Zimmerreservierung, -en	бронирование комнаты
der Dank (Sg.) (vielen Dank)	благодарность (большое спасибо)
danken (Nichts zu danken.)	благодарить (Не стоит благодарности.)
erfragen	разузнавать
die Touristeninformation, -en	информация для туристов
abwechselnd	по очереди
der Aufenthalt, -e	остановка, пребывание
fehlend	недостающий
die Rundfahrt, -en	экскурсия
ab (+ D.) (ab Hauptbahnhof)	от (от вокзала)
die Fahrt, -en	поездка, рейс
der Hauptbahnhof, "-e	главный вокзал
die Linie, -n (Nimm die Linie 3 zum Hauptbahnhof.)	номер маршрута (Езжай на тройке до вокзала.)
die Station, -en	станция
die Tageskarte, -n	билет на день
die U-Bahn, -en	метро
weiterfragen	спрашивать
der Abstecher, - (Mein Lieblingscafe ist ganz in der Nähe. Lass uns einen kleinen ‚Abstecher dorthin machen!)	кратковременная поездка (Моё любимое кафе находится очень близко. Давай заглянем туда ненадолго!)
anführen (Dieses Buch führt momentan die Bestseller-Listen an.)	возглавлять, лидировать (Эта книга в настоящий момент лидирует в списке бестселлеров.)
drauf sein	быть в форме (плохой, хорошей)
der Fernsehkoch, "-e	ведущий кулинарного шоу
die Galerie, -n	галерея
gestärkt	с новыми силами
grell	яркий
im Voraus (Vielen Dank im Voraus)	заранее (Заранее большое спасибо)
der/die Inspizient/in, -en/-nen	инспектор сцены (ведущий спектакль), помошник режиссёра
das Kochbuch, "-er	книга рецептов
die Kochshow, -s	кулинарная передача
der/die Kommissar/in, -e/-nen	комиссар
Lieblings- (Lieblingsfilm)	любимый (любимый фильм)
